time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-10-19T02:56:04.950Z,34.3178333,-116.9091667,5.87,1.82,ml,63,39,0.05622,0.16,ci,ci38906551,2019-10-19T03:06:32.510Z,"8km N of Big Bear Lake, CA",earthquake,0.19,0.5,0.157,27,automatic,ci,ci
2019-10-19T02:53:28.730Z,19.1195,-67.0928,54,3.05,md,9,236,0.6523,0.6,pr,pr2019292004,2019-10-19T07:41:39.412Z,"68km N of Isabela, Puerto Rico",earthquake,4.08,12.76,0.18,8,reviewed,pr,pr
2019-10-19T02:46:28.019Z,66.271,-157.2539,3.2,2,ml,,,,1.02,ak,ak019deye4iy,2019-10-19T02:53:12.861Z,"72km SSW of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-10-19T02:46:16.672Z,66.2866,-157.1052,5.4,2,ml,,,,0.73,ak,ak019deye3mr,2019-10-19T02:55:53.732Z,"69km S of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-10-19T02:38:34.030Z,58.6561,-153.8822,82.4,1.5,ml,,,,0.51,ak,ak019deycf8r,2019-10-19T02:41:29.081Z,"124km NW of Kodiak Station, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-10-19T02:38:23.184Z,66.2579,-157.2649,6.1,1.7,ml,,,,0.69,ak,ak019deyceg6,2019-10-19T02:51:31.805Z,"74km SSW of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-10-19T02:37:07.340Z,19.1395,-67.114,73,2.82,md,9,232,0.672,0.84,pr,pr2019292005,2019-10-19T07:41:49.200Z,"71km N of Isabela, Puerto Rico",earthquake,5.68,13.5,0.33,9,reviewed,pr,pr
2019-10-19T02:31:37.080Z,19.1515,-67.2373,58,2.93,md,13,229,0.6955,0.77,pr,pr2019292003,2019-10-19T07:41:26.284Z,"74km N of San Antonio, Puerto Rico",earthquake,5.38,12.26,0.25,13,reviewed,pr,pr
2019-10-19T02:30:13.480Z,35.9061667,-117.7173333,1.76,0.69,ml,10,96,0.06846,0.16,ci,ci38906543,2019-10-19T02:33:44.405Z,"17km E of Little Lake, CA",earthquake,0.27,0.71,0.185,7,automatic,ci,ci
2019-10-19T02:28:56.240Z,66.1505,-157.2754,27.8,1.9,ml,,,,0.97,ak,ak019deyabso,2019-10-19T02:37:48.098Z,"86km SSW of Kobuk, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-10-19T02:28:35.150Z,33.0876667,-117.2625,6.38,1.39,ml,11,252,0.07153,0.21,ci,ci38906535,2019-10-19T02:32:24.885Z,"6km NNE of Encinitas, CA",earthquake,2.97,31.61,0.326,3,automatic,ci,ci
2019-10-19T02:21:37.493Z,66.3674,-157.6852,0,1.5,ml,,,,1.27,ak,ak019dey8sf9,2019-10-19T02:26:35.846Z,"69km SSW of Kobuk, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-10-19T02:21:29.820Z,36.7227,-116.306,9.5,0.6,ml,19,70.39,0.073,0.2,nn,nn00707855,2019-10-19T02:58:26.459Z,"45km ESE of Beatty, Nevada",earthquake,,2,,,automatic,nn,nn
2019-10-19T02:04:21.310Z,18.2453,-66.484,38,1.73,md,5,125,0.1952,0.14,pr,pr2019292002,2019-10-19T07:41:13.220Z,"10km S of Ciales, Puerto Rico",earthquake,0.82,1.3,0.25,4,reviewed,pr,pr
2019-10-19T01:53:02.691Z,66.3122,-157.3507,13.5,1.4,ml,,,,0.8,ak,ak019dexu5mh,2019-10-19T02:05:11.189Z,"69km SSW of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-10-19T01:45:58.150Z,19.2393341,-155.3840027,31.67,2.12,ml,55,143,0.01288,0.14,hv,hv71188246,2019-10-19T01:51:38.930Z,"10km ENE of Pahala, Hawaii",earthquake,0.51,0.7,3.44,7,automatic,hv,hv
2019-10-19T01:44:18.221Z,66.2181,-157.1976,0,1.8,ml,,,,0.96,ak,ak019dexs8oy,2019-10-19T01:55:18.351Z,"78km S of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-10-19T01:41:01.283Z,66.3256,-157.4349,4.2,2,ml,,,,0.96,ak,ak019dexrk80,2019-10-19T01:53:37.645Z,"69km SSW of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-10-19T01:38:25.586Z,61.0108,-150.063,43.2,1.7,ml,,,,0.55,ak,ak019dexqz0c,2019-10-19T01:49:45.849Z,"24km SSW of Anchorage, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-10-19T01:31:37.599Z,66.2261,-157.1994,0.1,1.7,ml,,,,1.01,ak,ak019dexphwg,2019-10-19T01:44:24.189Z,"77km S of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-10-19T01:28:33.558Z,66.2701,-157.1907,4.8,1.2,ml,,,,0.62,ak,ak019dexoufv,2019-10-19T01:41:43.035Z,"72km S of Kobuk, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-10-19T00:58:05.377Z,66.2352,-157.1927,0,1.6,ml,,,,1.1,ak,ak019dex9s40,2019-10-19T01:06:25.081Z,"76km S of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-10-19T00:56:36.650Z,33.895668,-116.6289978,14.19,3.3,ml,118,24,0.05847,0.2,ci,ci38906511,2019-10-19T08:05:13.270Z,"8km W of Garnet, CA",earthquake,0.18,0.41,0.264,16,automatic,ci,ci
2019-10-19T00:55:09.558Z,66.2442,-157.2075,3.2,1.6,ml,,,,0.31,ak,ak019dex95bf,2019-10-19T00:59:43.625Z,"75km S of Kobuk, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-10-19T00:52:18.630Z,36.09,-117.8705,0.41,2.04,ml,26,56,0.0303,0.21,ci,ci38906503,2019-10-19T00:56:14.908Z,"9km NE of Coso Junction, CA",earthquake,0.33,0.41,0.124,25,automatic,ci,ci
